Machine_ID,Temperature,Vibration,Power_Consumption,Operating_Hours,Maintenance_Days,Failure
M005,54.9,4.58,3.26,1208,41,0
M007,51.7,3.08,2.89,4514,44,0
M008,83.8,4.7,4.16,1710,64,1
M001,53.6,2.21,3.38,2159,31,0
M006,55.8,2.94,3.72,2708,108,1
M001,57.8,3.48,3.29,4958,47,0
M002,88.8,2.77,4.64,2882,2,0
M001,72.9,4.24,3.63,1189,96,1
M005,77.7,0.5,3.47,4484,82,0
M010,70.0,6.15,3.35,454,77,1
M009,62.0,4.12,3.53,4363,110,1
M006,74.3,2.77,3.83,4911,69,1
M001,52.4,2.28,3.42,4652,58,0
M001,57.0,1.87,3.39,455,106,0
M002,75.3,3.84,4.22,1207,44,0
M009,54.4,4.29,3.27,1955,74,0
M003,66.1,2.79,2.95,2771,56,0
M001,66.6,4.44,3.62,4108,43,0
M005,62.7,1.82,2.87,3197,89,0
M007,48.5,1.59,3.31,3003,34,0
M006,61.7,5.36,3.91,3965,101,1
M001,59.8,3.77,3.15,4579,30,0
M005,69.6,4.82,4.24,3583,71,1
M005,69.1,1.89,4.02,298,70,0
M006,71.8,1.8,4.22,396,118,0
M003,61.2,2.53,3.6,2729,55,0
M005,73.2,1.93,3.48,1077,67,0
M007,52.4,3.92,3.58,2068,13,0
M005,49.8,2.02,3.03,2865,3,0
M005,45.0,1.48,3.17,1588,26,0
M005,63.0,3.18,3.52,2615,57,0
M010,60.5,1.32,3.91,769,24,0
M010,75.9,0.66,4.15,2837,53,0
M003,61.5,3.17,3.51,1265,70,0
M001,70.7,0.73,3.08,621,43,0
M005,76.1,4.01,3.68,3083,60,0
M009,61.1,1.19,3.77,1404,58,0
M001,71.0,0.5,3.87,744,49,0
M003,78.0,2.62,3.42,4366,42,0
M004,55.6,3.19,2.76,3839,76,0
M001,68.2,3.64,3.77,1423,113,0
M001,61.2,3.22,3.16,3372,100,1
M008,56.3,1.62,3.07,967,66,0
M002,52.6,3.93,3.55,3857,11,0
M008,56.1,4.25,3.82,854,103,1
M007,68.6,1.43,3.45,2646,98,0
M010,51.9,2.76,3.28,420,90,0
M010,62.5,2.64,3.54,3866,18,0
M002,76.1,3.29,3.85,4477,85,0
M006,72.5,2.73,3.83,4602,100,1
M006,62.7,2.91,3.83,2769,104,0
M003,84.9,3.83,3.89,1213,52,0
M002,86.9,1.55,3.64,2251,46,0
M001,68.3,3.96,4.3,4185,44,1
M006,45.0,4.48,3.51,4510,22,0
M005,76.9,5.12,3.54,3219,53,1
M009,45.1,0.5,3.17,3881,59,0
M001,82.8,2.76,4.42,1643,94,0
M007,78.8,0.5,4.23,4396,114,1
M005,85.7,0.5,4.3,3210,107,0
M005,70.6,3.19,3.71,772,30,0
M002,64.4,2.48,4.21,1532,8,0
M003,63.5,3.39,3.66,4953,98,1
M007,62.5,3.63,3.38,4202,57,0
M006,77.8,4.62,4.25,3334,111,1
M002,75.1,3.07,3.91,4286,73,0
M006,69.2,6.8,3.85,425,115,1
M002,60.8,3.4,3.59,4400,20,0
M002,94.3,5.4,4.53,2197,104,1
M002,77.1,0.5,3.59,971,25,0
M003,52.0,4.75,2.79,4724,19,0
M002,62.8,2.77,4.07,633,5,0
M004,77.3,0.5,4.02,3299,75,0
M009,60.0,3.55,3.77,2929,79,0
M006,71.5,2.61,3.17,3607,72,0
M001,77.5,3.75,4.31,3340,83,1
M008,45.0,4.31,2.94,1065,87,0
M007,66.9,1.06,3.39,2993,27,0
M010,67.3,4.32,3.66,3111,40,0
M003,63.9,3.01,3.26,2615,96,1
M001,71.0,4.76,3.77,450,26,0
M005,74.6,2.73,3.82,3957,27,0
M004,69.4,2.39,4.11,4856,62,1
M010,64.3,3.04,4.14,1118,83,0
M008,74.3,3.13,4.38,1373,50,0
M001,68.5,2.14,2.92,3403,42,0
M010,65.7,2.35,3.32,632,29,0
M001,54.9,1.41,2.58,1035,39,0
M004,52.4,2.43,2.89,2446,60,0
M008,54.7,3.88,3.14,2462,41,0
M005,70.8,2.82,3.91,1097,33,1
M002,67.2,4.31,3.5,3832,83,1
M006,53.2,2.76,3.16,4767,101,0
M005,74.5,1.14,3.93,4015,83,1
M002,81.7,3.78,3.44,446,97,1
M003,62.0,2.12,3.26,2629,111,0
M009,50.6,2.7,3.09,1190,16,0
M007,60.9,4.61,3.45,3510,23,0
M007,76.5,1.49,3.94,1126,7,0
M006,73.5,3.21,4.36,3638,26,0
M008,58.8,2.95,3.79,2807,96,0
M004,83.2,3.91,3.81,1274,12,0
M008,81.5,4.11,3.95,4222,72,1
M004,60.7,3.34,3.4,3999,5,0
M008,60.6,2.53,3.34,4984,106,0
M009,62.1,3.62,3.65,3351,92,1
M003,62.9,4.74,2.92,3638,117,1
M003,77.5,2.96,4.25,4773,69,0
M002,72.3,2.65,4.4,3691,49,0
M010,76.8,3.5,3.83,906,26,1
M003,74.7,3.05,3.77,3264,5,0
M003,85.1,1.26,4.18,953,22,0
M005,57.4,3.31,3.79,787,79,0
M005,71.8,1.25,3.68,1534,13,0
M002,46.3,3.49,3.48,2047,28,0
M010,54.8,1.96,3.54,4134,33,0
M006,67.3,3.05,4.51,4126,107,1
M005,72.2,3.51,3.69,3517,23,0
M006,67.0,6.19,2.98,4220,97,1
M001,62.3,3.97,3.06,3355,107,0
M005,64.1,4.77,3.61,4502,18,1
M009,81.7,5.43,4.4,2398,114,1
M010,64.2,3.64,3.38,364,117,1
M002,85.5,3.37,4.06,2198,30,1
M001,75.9,1.61,4.14,3257,26,0
M010,72.6,2.85,3.48,2284,16,0
M009,56.1,2.06,3.19,4628,77,0
M010,77.4,2.48,3.53,602,39,0
M009,63.1,5.43,3.99,613,33,0
M009,56.1,3.15,3.94,244,26,0
M006,73.1,1.86,3.27,4357,48,0
M008,54.1,4.79,3.3,2667,65,0
M001,60.4,4.24,4.0,1067,113,0
M010,67.9,4.31,3.84,218,38,0
M004,90.2,0.5,4.08,564,2,0
M001,61.1,5.53,2.99,4032,113,1
M008,63.4,2.27,3.99,779,6,0
M001,75.3,4.01,4.01,745,46,0
M003,55.6,6.28,2.87,4350,50,0
M004,72.4,5.8,4.23,3239,38,1
M008,80.1,1.73,3.44,4337,106,0
M006,64.9,1.12,3.55,4244,88,0
M010,78.3,4.86,3.86,4526,18,0
M007,70.9,3.18,4.34,652,27,0
M008,60.7,2.35,3.43,4161,41,0
M002,66.0,3.81,3.56,1581,72,1
M010,64.2,2.79,3.13,1667,92,0
M008,67.1,3.91,3.45,2938,74,0
M003,69.5,3.09,3.45,1416,17,0
M007,73.9,3.94,3.58,1080,119,0
M003,73.1,1.84,3.83,4014,62,0
M007,45.0,4.85,2.27,3349,29,0
M002,67.0,3.91,3.15,284,58,0
M010,52.9,3.84,3.28,4344,70,1
M006,65.2,1.55,3.67,1368,78,0
M003,66.8,5.21,3.59,4364,22,0
M003,77.8,2.98,3.93,3329,118,0
M009,67.7,3.95,3.55,3845,6,0
M007,70.6,2.58,3.76,2726,26,0
M005,75.9,3.34,4.05,3067,39,1
M010,80.3,3.39,4.16,3716,12,0
M007,66.8,0.5,3.43,3567,99,0
M009,68.9,3.76,4.04,2394,14,0
M001,68.1,5.55,3.76,3755,22,0
M007,62.6,3.7,4.0,645,51,0
M006,60.3,1.75,4.01,3826,23,0
M010,45.3,3.84,2.63,4216,48,0
M009,57.2,4.38,3.13,4075,71,1
M001,50.2,3.67,3.54,3537,104,0
M004,80.6,2.9,3.43,461,50,0
M009,69.9,2.69,4.24,2048,89,1
M004,66.7,2.68,3.55,4225,13,0
M010,60.8,3.91,3.72,2466,85,1
M003,68.3,1.17,3.67,291,105,0
M009,59.5,2.52,3.0,4422,10,0
M002,69.7,5.07,4.11,4375,117,1
M004,70.5,5.12,4.73,3509,55,0
M006,59.4,1.08,3.3,1182,9,0
M002,59.2,1.53,3.37,3643,79,0
M008,77.6,2.65,3.01,2733,52,1
M008,67.5,4.16,4.16,893,2,0
M001,60.2,0.62,3.82,4320,25,0
M003,64.3,2.93,3.0,355,13,0
M010,57.9,2.38,2.72,3788,98,0
M009,67.3,4.72,3.0,2012,51,1
M005,76.3,0.82,4.13,4314,58,0
M006,67.7,3.12,3.95,1607,34,0
M004,91.6,2.49,3.97,1416,35,0
M010,72.2,4.91,3.98,1610,102,1
M002,70.3,3.78,3.81,3697,3,0
M008,58.9,2.24,3.34,4572,106,1
M006,65.6,4.11,3.98,751,120,1
M005,60.2,2.49,3.08,3594,59,0
M009,46.3,4.3,3.56,1376,70,0
M001,77.7,2.69,3.69,4934,119,1
M005,62.9,4.37,4.2,4532,48,0
M006,60.4,3.57,3.16,1197,64,0
M005,70.1,7.24,3.63,4276,113,1
M006,73.1,2.93,3.85,2931,19,1
M006,64.8,3.5,3.64,4137,67,0
M007,68.0,2.38,3.87,4252,82,0
M004,75.5,3.0,3.44,572,103,1
M008,64.4,0.5,3.6,2448,73,0
M007,71.0,3.61,3.82,1048,116,1
M009,51.4,4.75,3.1,2756,76,0
M007,55.6,3.52,3.53,2522,5,0
M003,74.1,1.29,3.38,703,67,0
M003,55.1,1.96,3.26,3389,11,0
M008,70.3,0.5,3.49,902,94,0
M005,66.5,4.27,3.55,3825,68,1
M004,64.4,1.69,4.12,514,69,0
M008,59.7,2.96,4.01,2576,1,0
M006,77.1,2.8,4.37,1240,91,0
M002,85.3,4.93,3.97,4578,92,1
M004,71.0,3.11,4.09,3190,63,0
M004,71.2,4.05,3.82,457,29,1
M006,61.2,3.71,3.55,774,82,0
M006,56.0,4.77,3.37,4869,12,0
M001,67.6,2.69,4.31,1752,77,0
M008,58.3,5.43,3.94,4718,41,0
M006,50.3,0.5,3.52,957,2,0
M003,76.0,4.11,3.84,3010,37,0
M009,76.5,1.87,3.93,1304,45,0
M002,59.4,2.36,3.67,4724,80,0
M008,70.4,3.74,3.58,3659,48,0
M010,78.0,3.73,4.28,4192,24,0
M003,70.1,3.79,3.43,403,99,0
M005,56.1,1.2,3.54,2975,22,0
M006,65.7,4.88,2.84,2532,100,1
M010,81.3,1.83,3.84,2192,11,0
M006,70.5,2.0,4.49,2443,119,0
M004,73.4,3.83,4.2,506,58,0
M003,71.4,2.63,4.32,1887,46,0
M004,59.4,3.4,3.25,4309,29,0
M001,61.8,0.5,3.58,2060,35,0
M004,71.4,3.37,4.23,2161,112,1
M001,76.2,3.28,4.13,922,118,1
M001,79.0,2.34,4.15,979,15,0
M010,59.4,0.5,4.06,728,60,0
M006,72.3,2.72,3.44,543,95,0
M005,79.9,2.95,3.93,3986,42,1
M004,58.1,2.52,2.84,3882,105,0
M003,82.9,0.61,3.69,408,43,0
M001,84.4,5.07,4.49,4936,80,1
M006,94.3,2.17,4.04,3606,74,1
M002,70.3,2.71,4.01,1511,49,0
M008,70.4,0.5,4.34,2499,64,0
M010,76.3,5.07,3.85,3536,32,0
M005,76.0,2.39,4.08,2147,64,0
M007,79.3,3.13,4.24,1119,115,1
M010,75.8,4.46,3.47,2244,2,0
M002,66.9,2.12,3.46,618,24,0
M008,80.2,4.25,3.65,1949,87,1
M002,57.3,0.5,3.24,3042,66,0
M004,68.1,3.72,3.95,1299,38,1
M001,83.6,5.04,3.88,3592,31,1
M005,55.5,2.25,3.38,2972,115,1
M009,61.2,4.45,3.17,2680,104,1
M001,74.7,5.38,4.3,1745,26,0
M009,71.9,2.67,3.61,1270,29,0
M008,59.2,2.56,4.01,2050,67,0
M006,63.8,1.83,3.62,4398,78,0
M007,56.2,2.34,2.91,3139,25,0
M003,77.8,1.94,3.89,2103,48,0
M001,65.4,1.83,3.26,878,65,0
M005,85.9,4.56,4.35,1188,53,1
M002,68.8,1.97,3.63,2675,67,0
M005,65.8,3.34,3.7,1807,118,1
M008,64.8,3.05,3.49,3069,90,1
M009,65.6,4.95,3.45,1702,18,0
M002,69.1,2.35,3.39,1989,9,0
M003,93.1,3.5,4.62,1625,38,0
M003,64.6,4.03,3.55,2640,87,1
M001,64.9,4.94,3.51,2242,21,1
M008,68.7,2.33,3.65,1478,65,0
M006,78.9,2.2,3.73,2794,21,0
M008,53.8,1.62,3.24,4889,27,0
M009,72.6,5.91,3.89,2636,106,1
M005,59.8,4.8,3.13,4003,70,0
M003,73.5,2.95,3.53,2405,119,0
M005,63.1,5.51,4.06,1227,44,1
M005,45.0,2.87,3.0,3739,100,0
M005,71.7,3.94,3.6,3683,28,0
M003,71.6,3.01,3.32,2441,45,0
M010,62.2,3.52,3.85,2965,17,1
M004,61.6,3.38,3.17,1373,40,0
M009,54.9,2.45,3.37,3430,116,0
M010,75.7,4.42,3.29,3550,3,0
M009,76.8,3.93,4.21,603,76,0
M002,59.2,4.34,3.89,2925,103,0
M008,62.6,3.42,3.73,3582,76,0
M008,67.4,1.82,3.15,4363,66,0
M007,90.7,5.22,4.56,287,120,1
M008,73.5,2.66,3.55,1358,46,0
M003,58.6,3.47,3.06,4473,86,0
M006,71.0,3.83,3.64,3057,87,1
M001,54.2,3.46,3.21,1581,30,0
M007,75.2,4.19,3.7,4881,69,1
M001,84.8,4.4,4.57,2264,9,1
M009,84.8,2.71,4.82,2574,85,0
M001,75.3,5.11,3.4,517,11,1
M001,62.2,2.65,3.31,1702,69,0
M007,55.0,3.44,3.42,2242,99,1
M002,54.0,2.5,3.21,4798,91,0
M005,45.0,2.12,3.26,2222,113,0
M008,74.9,4.36,4.19,318,66,0
M008,67.0,7.06,3.94,909,88,1
M003,77.1,2.53,4.14,3757,31,0
M007,82.3,4.58,4.64,4340,33,0
M003,69.0,2.58,3.17,4609,39,0
M006,69.5,2.99,4.26,3450,94,0
M006,63.4,5.28,3.44,617,46,0
M003,64.5,1.6,3.89,2803,37,0
M007,75.3,1.26,3.52,4054,115,0
M003,66.3,2.89,3.34,1301,92,0
M008,64.8,3.86,3.85,4621,60,1
M010,67.8,3.6,3.02,3628,31,0
M004,76.9,3.47,4.27,2461,11,0
M001,61.1,3.04,3.97,4369,87,1
M004,67.3,4.02,3.74,3834,2,0
M007,70.5,0.5,3.81,708,104,0
M004,79.6,2.02,3.7,2579,105,1
M006,65.6,2.88,3.88,3364,27,0
M009,60.8,3.92,3.64,887,99,1
M001,63.2,4.94,3.26,4952,2,0
M005,78.5,1.85,3.83,1492,103,0
M007,88.3,4.89,4.15,4105,101,1
M001,54.9,2.41,3.24,3275,21,0
M004,57.0,2.83,2.95,3409,58,0
M006,66.3,3.76,3.9,524,5,0
M002,69.1,2.74,3.64,2193,52,0
M010,75.9,4.44,3.9,4176,45,1
M005,59.1,2.47,3.28,2970,85,0
M010,57.4,2.49,3.6,4572,93,0
M001,69.4,4.37,3.8,2783,20,0
M006,65.4,2.01,4.06,3757,61,0
M006,77.3,3.32,4.1,3787,38,0
M004,72.9,0.84,3.75,351,20,0
M008,73.6,5.37,3.58,1154,114,1
M004,67.0,4.57,3.98,4554,25,1
M008,91.6,6.58,4.19,2571,2,1
M008,59.6,4.74,3.43,1391,32,1
M005,74.1,1.53,3.79,887,26,0
M004,55.3,3.87,3.24,509,70,0
M002,57.3,1.81,3.38,1702,41,0
M003,61.9,5.05,4.22,3327,67,1
M003,84.3,1.57,3.74,4768,97,0
M004,70.6,1.51,3.48,3567,1,0
M004,62.1,0.91,4.04,3595,51,0
M010,71.7,2.37,3.66,1013,5,0
M005,68.4,2.1,3.55,1045,13,0
M004,63.1,1.36,3.94,1364,19,0
M010,54.0,5.59,2.85,4962,12,1
M008,82.4,3.69,4.35,1967,48,1
M006,70.1,3.54,3.77,554,25,0
M006,89.7,5.07,4.41,2072,57,1
M008,77.4,3.33,4.09,2224,115,1
M007,73.5,2.03,3.62,3017,35,0
M010,63.6,0.79,3.96,4032,76,0
M010,57.0,1.95,3.23,4475,94,0
M008,65.8,4.96,3.79,265,5,0
M002,56.8,1.37,3.85,4466,98,0
M009,74.5,3.46,4.35,4290,22,0
